City,Season,Trip_Days,Flight_Type,Distance_km,Hotel_Class,Daily_Hotel_Cost,Daily_Food_Cost,Transport_Mode,Daily_Transport_Cost,Activities_Count,Shopping_Cost,Total_Trip_Cost,Cost_Category
Istanbul,Winter,11,Economy,8303.1,Standard,1877.38,488.91,Public,600.68,4,20893.64,69383.16,Mid-range
Kuala Lumpur,Peak,4,First,5927.5,Luxury,5842.42,1753.0,Rideshare,1091.69,11,15850.27,320147.03,Luxury
Goa,Monsoon,14,Business,11229.7,Standard,7520.77,879.56,Private Car,137.2,7,14.18,201868.16,Luxury
Dubai,Holiday,14,Premium Economy,8157.8,Premium,3272.23,743.58,Private Car,1311.41,11,5803.83,334991.8,Luxury
Goa,Holiday,10,First,2992.5,Premium,7839.39,1247.31,Rideshare,181.45,4,10120.52,520280.03,Luxury
Bangkok,Off-Season,12,Economy,6931.4,Standard,5029.32,1646.85,Rideshare,1345.47,1,14285.15,102873.08,Luxury
Dubai,Peak,17,First,9134.6,Premium,4251.54,1831.07,Taxi,843.05,4,16774.02,800000.0,Luxury
Bangkok,Monsoon,3,Premium Economy,247.1,Standard,4576.89,593.17,Private Car,54.11,1,5829.37,23095.65,Budget
Istanbul,Winter,20,Economy,2612.9,Luxury,1617.17,593.7,Private Car,698.54,1,6152.79,101838.12,Luxury
Kuala Lumpur,Off-Season,15,Premium Economy,611.1,Standard,2382.97,1219.62,Rideshare,777.77,6,12652.62,81236.14,Mid-range
Kuala Lumpur,Peak,3,Premium Economy,11667.8,Standard,3383.72,1231.73,Taxi,1306.86,4,21551.44,101555.08,Luxury
,,5,,2548.8,,,875.16,Private Car,1088.48,1,,154488.2,Luxury
Istanbul,Holiday,13,First,10573.1,Luxury,4086.09,1905.18,Rideshare,773.58,6,18625.7,491757.29,Luxury
Kuala Lumpur,Peak,6,Premium Economy,1963.8,Luxury,6210.16,1094.9,Public,1213.92,6,23577.9,217705.16,Luxury
London,Off-Season,20,Premium Economy,1082.6,Premium,6724.11,1632.96,Taxi,1048.41,6,12804.46,544776.46,Luxury
Bangkok,Holiday,2,Economy,8250.4,Premium,5126.94,1972.64,Private Car,775.64,11,10946.44,86764.2,Mid-range
Dubai,Off-Season,20,Economy,11446.9,Standard,2005.12,642.62,Taxi,1316.16,1,16815.57,140175.35,Luxury
London,Monsoon,2,Economy,886.1,Budget,3728.29,1051.38,Public,188.76,2,6034.47,16006.48,Budget
Kuala Lumpur,Monsoon,10,Business,4816.5,Luxury,7795.28,1726.5,Taxi,1259.02,3,8491.38,273098.17,Luxury
Dubai,Holiday,3,First,1134.3,Standard,7366.86,314.14,Private Car,776.53,2,23755.58,240312.84,Luxury
Kuala Lumpur,Monsoon,13,Business,4880.0,Luxury,3271.37,1561.03,Taxi,683.75,2,102.54,168532.1,Luxury
London,Holiday,9,First,3990.1,Standard,6722.47,1703.83,Private Car,378.03,10,10170.51,650394.62,Luxury
Bangkok,Peak,1,First,10911.4,Budget,5110.16,1968.42,Private Car,677.19,9,213.0,105251.46,Luxury
Dubai,Monsoon,11,First,6165.3,Budget,6796.4,675.69,Rideshare,1227.73,4,2007.39,275409.81,Luxury
London,Monsoon,8,Premium Economy,7557.4,Standard,2163.54,1195.3,Public,523.52,4,13846.26,102962.89,Luxury
London,Monsoon,15,First,1500.9,Premium,3961.01,909.03,Rideshare,1372.88,8,5464.05,522187.97,Luxury
London,Peak,8,Business,11549.8,Luxury,1812.98,566.08,Private Car,452.2,3,7925.59,399205.22,Luxury
Kuala Lumpur,Monsoon,12,Economy,11509.3,Premium,3859.36,803.52,Public,337.31,5,9294.63,88886.49,Mid-range
Istanbul,Monsoon,18,Premium Economy,5388.7,Standard,5973.96,334.7,Rideshare,1202.72,7,24016.14,123849.72,Luxury
Goa,Off-Season,2,Premium Economy,3658.0,Luxury,5492.06,818.73,Private Car,1194.11,5,11506.49,85276.6,Mid-range
Istanbul,Off-Season,15,Premium Economy,6733.8,Standard,4232.82,1783.54,Public,1283.1,7,6016.61,106308.88,Luxury
Goa,Monsoon,13,First,10365.7,Standard,5382.36,1625.33,Private Car,1240.2,4,6528.8,317765.27,Luxury
Dubai,Peak,11,Premium Economy,5733.4,Luxury,5022.51,1253.19,Private Car,763.89,2,3886.52,386512.31,Luxury
Kuala Lumpur,Holiday,4,Premium Economy,328.1,Standard,6665.55,1873.44,Rideshare,365.19,0,3057.78,45097.39,Mid-range
Goa,Monsoon,2,Business,440.2,Premium,3986.29,289.4,Public,172.46,7,5789.48,55873.15,Mid-range
Istanbul,Monsoon,16,Economy,2918.8,Standard,83193.66,1196.26,Private Car,1142.28,6,135323.49,88787.11,Mid-range
London,Winter,8,Premium Economy,3795.6,Budget,5519.95,1123.45,Rideshare,418.08,8,7132.3,193133.96,Luxury
Kuala Lumpur,Holiday,19,Economy,756.6,Premium,5028.5,682.94,Rideshare,829.03,3,17695.51,190797.56,Luxury
Bangkok,Peak,18,Economy,9769.3,Budget,2755.28,1298.35,Rideshare,250.26,5,6124.04,96029.47,Luxury
London,Peak,17,First,7086.9,Luxury,2129.49,494.77,Taxi,306.85,3,8288.28,800000.0,Luxury
Istanbul,Holiday,3,First,4210.4,Budget,1124.71,1152.91,Rideshare,482.12,7,7176.42,40951.99,Mid-range
Kuala Lumpur,Winter,19,Premium Economy,6496.2,Standard,7105.17,1961.33,Private Car,1040.76,4,10774.97,261342.53,Luxury
Istanbul,Peak,7,Business,7960.0,Standard,6636.19,1653.24,Private Car,841.23,9,13644.33,154188.25,Luxury
Istanbul,Monsoon,6,First,2905.3,Budget,3396.33,1054.43,Rideshare,178.26,3,12514.78,57828.26,Mid-range
Istanbul,Monsoon,7,Economy,8982.1,Premium,936.18,1686.96,Public,174.25,11,570.31,41643.32,Mid-range
Istanbul,Holiday,12,Business,9912.3,Premium,7532.45,210.47,Public,990.28,4,22392.77,329108.84,Luxury
Goa,Peak,12,Business,2038.8,Standard,4766.59,1090.3,Private Car,1146.39,8,320.58,243806.66,Luxury
London,Off-Season,4,Premium Economy,268.2,Standard,5310.41,1938.91,Taxi,272.82,7,1251.85,84332.25,Mid-range
Kuala Lumpur,Off-Season,17,Business,4166.1,Budget,3176.5,676.82,Private Car,486.44,0,13510.76,102402.14,Luxury
Goa,Peak,3,Premium Economy,9842.8,Luxury,6544.99,637.33,Taxi,1454.19,8,4304.76,135870.94,Luxury
Kuala Lumpur,Winter,20,Economy,1858.8,Luxury,13800.8,558.52,Rideshare,1053.47,11,205874.24,156562.15,Luxury
Dubai,Winter,4,Business,7310.7,Budget,1981.68,939.88,Public,1485.13,4,24324.15,166422.0,Luxury
Bangkok,Holiday,9,First,4954.9,Standard,6219.46,992.31,Public,295.81,1,10339.73,275209.53,Luxury
Goa,Holiday,16,Economy,6853.0,Premium,3734.98,780.05,Private Car,1193.23,3,13462.16,196896.31,Luxury
Goa,Peak,16,Business,991.7,Budget,2198.76,1024.76,Taxi,1038.96,11,15636.11,213856.31,Luxury
Dubai,Holiday,3,Premium Economy,9419.0,Premium,1911.91,1062.3,Taxi,1454.32,8,4837.73,206869.0,Luxury
Bangkok,Off-Season,8,Premium Economy,5618.6,Luxury,6254.24,1424.22,Rideshare,53.83,4,333.85,145130.25,Luxury
Bangkok,Peak,5,Premium Economy,8157.5,Premium,7029.53,257.73,Taxi,1249.41,1,1578.42,124054.89,Luxury
Kuala Lumpur,Peak,18,First,5403.2,Budget,2297.05,1780.08,Public,960.79,1,12984.43,264605.45,Luxury
Bangkok,Monsoon,4,Business,9893.0,Standard,7240.97,1735.29,Taxi,992.8,11,22961.09,117790.8,Luxury
Bangkok,Peak,13,Premium Economy,5800.4,Budget,6156.81,1529.28,Public,1048.39,9,9887.31,186814.98,Luxury
Istanbul,Monsoon,6,Business,6098.8,Premium,7440.32,589.71,Taxi,342.67,2,22101.66,113634.43,Luxury
Kuala Lumpur,Holiday,17,Premium Economy,11225.8,Budget,4284.11,604.59,Rideshare,114.55,1,15776.29,124528.06,Luxury
Goa,Winter,8,Business,6798.2,Budget,32023.92,1463.55,Rideshare,1422.44,7,145696.94,171593.33,Luxury
Kuala Lumpur,Peak,15,Business,6809.1,Standard,3326.17,563.48,Public,765.28,6,10828.89,213069.07,Luxury
Dubai,Off-Season,4,Economy,3281.4,Premium,2456.16,1837.05,Private Car,657.15,1,11069.41,59727.69,Mid-range
Bangkok,Holiday,19,Business,7131.8,Budget,7866.56,1866.8,Public,310.4,7,13860.55,419649.06,Luxury
Bangkok,Holiday,17,First,10533.1,Standard,4210.11,591.47,Rideshare,720.33,3,12819.21,432686.47,Luxury
Istanbul,Winter,11,Business,933.1,Premium,1191.13,539.07,Taxi,1073.76,2,19014.47,101307.65,Luxury
Goa,Holiday,16,First,6118.5,Standard,1039.46,1038.32,Rideshare,1493.4,6,18812.76,318826.89,Luxury
Kuala Lumpur,Monsoon,4,First,4146.2,Budget,4091.6,375.28,Rideshare,761.73,3,19976.76,71319.44,Mid-range
Bangkok,Peak,6,Economy,5550.6,Premium,2743.1,382.02,Taxi,323.74,8,11204.55,81065.17,Mid-range
London,Peak,7,Premium Economy,10135.0,Budget,7928.13,647.8,Private Car,247.0,7,12558.39,246970.95,Luxury
Kuala Lumpur,Peak,17,First,4532.4,Premium,3574.34,387.56,Public,1113.22,6,208.4,366637.03,Luxury
Goa,Holiday,11,First,1687.7,Budget,6668.54,713.95,Taxi,304.85,3,14317.41,296133.85,Luxury
Dubai,Winter,20,Business,11761.8,Premium,2524.52,1023.44,Rideshare,1179.25,0,22378.16,592980.72,Luxury
London,Monsoon,17,Business,1502.2,Standard,1830.45,802.56,Private Car,1226.61,9,13359.6,206584.62,Luxury
Bangkok,Off-Season,15,First,8337.8,Premium,2356.63,1386.4,Private Car,317.08,1,292.67,204667.62,Luxury
Kuala Lumpur,Monsoon,15,First,9647.5,Budget,6420.95,655.69,Private Car,1338.39,11,24634.52,254057.43,Luxury
Istanbul,Off-Season,11,Premium Economy,5636.0,Standard,1200.29,846.06,Taxi,763.01,5,16414.47,40521.47,Mid-range
Bangkok,Off-Season,9,Premium Economy,4674.0,Standard,6589.91,1188.25,Private Car,822.1,7,5576.23,93129.92,Luxury
Goa,Monsoon,7,First,6837.5,Budget,7190.01,815.66,Private Car,254.56,3,24436.31,163490.27,Luxury
Goa,Off-Season,1,Premium Economy,8682.5,Standard,2045.66,1673.46,Private Car,1377.26,10,6282.17,44720.72,Mid-range
London,Peak,14,First,10247.8,Luxury,6243.58,977.24,Taxi,732.34,4,3157.29,800000.0,Luxury
London,Winter,2,Business,5427.0,Standard,5158.6,1214.07,Public,941.87,0,2620.56,80679.46,Mid-range
Istanbul,Monsoon,18,Premium Economy,5983.9,Luxury,5339.03,288.29,Private Car,953.24,9,23404.07,202304.72,Luxury
Istanbul,Winter,11,Premium Economy,1695.7,Premium,2189.19,389.84,Taxi,465.57,11,6265.52,95400.77,Luxury
Kuala Lumpur,Peak,6,Premium Economy,170.1,Standard,5394.68,660.35,Taxi,1139.85,7,17983.19,102298.04,Luxury
Istanbul,Monsoon,1,Premium Economy,5654.9,Luxury,5923.82,1639.08,Rideshare,1389.52,8,18328.09,51201.82,Mid-range
Dubai,Monsoon,18,Business,3072.5,Premium,7176.35,783.15,Private Car,313.27,5,13040.55,447308.57,Luxury
Dubai,Winter,20,First,2141.0,Premium,6779.99,251.08,Taxi,1453.87,8,1499.62,800000.0,Luxury
Kuala Lumpur,Peak,14,Business,11372.9,Standard,5015.76,803.26,Private Car,737.88,11,8271.46,277272.42,Luxury
,,14,,2134.7,,,1035.52,Taxi,54.31,0,,141705.5,Luxury
Istanbul,Off-Season,5,Economy,8431.8,Budget,7432.57,1290.95,Public,219.15,1,9969.57,35160.88,Mid-range
Istanbul,Monsoon,14,Premium Economy,4206.4,Budget,6656.61,534.74,Private Car,1382.77,8,9793.84,78770.3,Mid-range
Istanbul,Monsoon,9,Economy,1430.9,Luxury,6844.85,1297.74,Taxi,1419.81,9,21614.8,122067.94,Luxury
Dubai,Winter,11,Economy,7550.3,Premium,5625.53,1569.8,Taxi,906.55,8,6882.61,241163.69,Luxury
Bangkok,Winter,4,First,6363.6,Standard,3344.64,1593.93,Rideshare,266.34,2,2489.91,104430.24,Luxury
Istanbul,Winter,19,First,6657.5,Premium,2028.98,1450.38,Public,182.3,8,19958.67,342284.52,Luxury
Istanbul,Peak,4,First,7695.0,Budget,2909.35,1717.33,Public,274.3,5,7838.26,88179.84,Mid-range
Dubai,Monsoon,12,Premium Economy,11934.2,Premium,4339.6,216.19,Taxi,772.35,0,4296.04,154069.66,Luxury
Dubai,Winter,4,First,4020.8,Standard,7554.02,858.34,Taxi,514.19,6,8950.98,223431.78,Luxury
Goa,Winter,20,Economy,10180.9,Budget,4381.16,618.56,Rideshare,517.82,4,12626.21,143415.24,Luxury
Dubai,Holiday,16,Premium Economy,2006.4,Premium,4775.93,542.07,Rideshare,928.36,11,16007.57,348106.5,Luxury
Kuala Lumpur,Winter,9,Business,10875.1,Luxury,1667.12,1527.67,Public,1429.67,2,3970.87,234748.8,Luxury
London,Winter,8,Business,6643.5,Luxury,7416.1,1777.85,Taxi,712.45,3,14986.09,737765.07,Luxury
Dubai,Peak,3,Premium Economy,1756.9,Standard,4171.08,1246.18,Rideshare,365.31,5,4328.69,72885.2,Mid-range
Kuala Lumpur,Holiday,6,Economy,4877.7,Standard,6450.28,859.35,Public,910.35,11,18998.72,70230.24,Mid-range
Goa,Winter,9,Business,9040.9,Luxury,3956.05,748.17,Private Car,379.62,0,2858.53,296629.86,Luxury
Dubai,Holiday,5,Premium Economy,6104.8,Luxury,6155.24,779.42,Public,426.8,3,3094.65,234439.85,Luxury
Kuala Lumpur,Monsoon,19,Business,4491.5,Standard,7680.44,1817.79,Public,835.74,7,24681.03,264082.49,Luxury
Kuala Lumpur,Winter,15,Economy,7124.1,Luxury,3144.19,1358.67,Public,804.26,1,18133.74,179703.5,Luxury
Bangkok,Winter,2,First,3752.3,Budget,4611.53,1491.74,Private Car,832.82,0,1263.7,49272.77,Mid-range
Dubai,Winter,13,Premium Economy,7930.7,Premium,6033.32,1221.99,Rideshare,764.62,5,15900.54,372975.02,Luxury
Goa,Peak,3,Business,11892.6,Luxury,6008.5,1439.13,Taxi,691.5,2,4771.29,181901.02,Luxury
Dubai,Peak,6,Economy,2388.4,Luxury,2805.64,1374.36,Rideshare,182.58,2,19279.54,185015.34,Luxury
Istanbul,Off-Season,7,Business,4953.3,Budget,1092.91,1883.95,Taxi,920.72,3,6098.65,49392.4,Mid-range
Dubai,Peak,18,First,7621.9,Budget,1383.58,1019.72,Private Car,513.62,7,22098.37,366166.96,Luxury
Dubai,Winter,6,First,10989.4,Budget,898.34,1679.12,Private Car,505.24,2,9621.96,116963.73,Luxury
Dubai,Winter,12,Economy,11356.8,Standard,6626.39,236.6,Taxi,914.62,0,1129.25,183497.9,Luxury
Istanbul,Peak,17,First,8483.4,Luxury,4509.08,1969.01,Rideshare,508.47,11,5407.73,614100.58,Luxury
,,7,,10109.2,,,1110.62,Rideshare,927.79,8,,383456.83,Luxury
London,Off-Season,14,First,29.5,Budget,3868.13,455.87,Taxi,876.65,11,8929.18,353600.24,Luxury
Bangkok,Winter,11,Business,11855.9,Standard,3518.67,323.77,Rideshare,310.52,6,14223.9,190184.12,Luxury
Istanbul,Monsoon,4,Premium Economy,1418.5,Premium,1152.91,801.13,Taxi,396.37,1,9768.34,19093.35,Budget
Goa,Winter,15,Economy,10048.2,Premium,3481.02,302.24,Public,616.56,1,3922.48,130482.75,Luxury
Bangkok,Peak,4,Business,263.1,Luxury,6245.23,679.25,Rideshare,1278.83,4,14485.29,198982.05,Luxury
London,Winter,1,Business,6068.7,Luxury,6850.7,1143.26,Rideshare,86.13,7,10035.72,238448.32,Luxury
Bangkok,Monsoon,6,Business,1232.1,Premium,4023.78,344.68,Rideshare,1268.9,9,23834.0,119491.79,Luxury
Goa,Peak,18,Premium Economy,10646.8,Budget,7121.23,1174.02,Private Car,711.82,4,21801.9,297323.24,Luxury
London,Holiday,11,First,4381.5,Premium,1550.83,983.92,Taxi,1361.12,6,24173.27,685330.52,Luxury
Kuala Lumpur,Holiday,16,First,4590.0,Standard,3537.66,907.01,Private Car,893.46,0,15742.67,303620.46,Luxury
Dubai,Monsoon,19,Premium Economy,5494.0,Luxury,2037.87,596.01,Public,149.83,4,17619.71,203899.55,Luxury
Bangkok,Peak,14,Premium Economy,2644.2,Premium,7051.3,290.4,Taxi,315.75,5,4974.36,253427.75,Luxury
Goa,Off-Season,15,First,6319.0,Luxury,6832.06,567.61,Taxi,1017.03,6,19909.47,739139.05,Luxury
London,Holiday,10,Premium Economy,6848.9,Luxury,4366.94,1402.46,Private Car,1117.96,8,5689.69,530092.47,Luxury
Bangkok,Winter,20,Premium Economy,11138.2,Luxury,7064.44,1777.03,Rideshare,801.33,11,16272.74,592858.57,Luxury
Dubai,Peak,17,Economy,11021.2,Premium,857.47,1676.02,Rideshare,924.62,0,14404.22,201561.84,Luxury
Kuala Lumpur,Holiday,9,Premium Economy,3052.6,Standard,2830.0,1514.72,Public,361.48,8,13032.15,92920.12,Luxury
Istanbul,Peak,9,Premium Economy,1747.7,Standard,4119.69,214.83,Private Car,929.87,3,1994.69,64549.4,Mid-range
London,Holiday,7,First,7019.8,Luxury,5581.8,1284.3,Rideshare,605.9,0,22743.69,800000.0,Luxury
London,Monsoon,8,Economy,8287.3,Luxury,4363.47,1278.8,Rideshare,1317.94,9,18823.21,288788.43,Luxury
Dubai,Off-Season,11,Premium Economy,11351.4,Standard,6978.32,1234.5,Private Car,904.1,5,5125.58,210215.77,Luxury
Goa,Peak,12,First,7334.1,Budget,4737.28,1405.48,Public,889.75,11,11551.82,351736.32,Luxury
Bangkok,Holiday,5,Economy,3684.3,Luxury,1711.94,1683.18,Rideshare,645.88,9,9410.55,98925.69,Luxury
Bangkok,Holiday,3,Business,9419.7,Standard,6046.5,972.75,Private Car,795.7,2,6940.43,93265.02,Luxury
London,Winter,8,First,6628.8,Luxury,1281.18,1645.22,Public,545.04,11,424.04,357266.37,Luxury
Kuala Lumpur,Winter,14,First,10194.8,Budget,4793.3,1338.76,Public,1276.35,3,18099.75,305796.28,Luxury
Kuala Lumpur,Monsoon,6,First,10531.9,Standard,2009.12,731.3,Private Car,1192.75,10,16700.27,150802.79,Luxury
Bangkok,Peak,3,Business,6581.1,Luxury,6852.94,960.47,Taxi,775.94,3,20993.93,259447.89,Luxury
Istanbul,Winter,17,First,4450.4,Budget,4064.65,1955.29,Private Car,1083.91,11,23646.98,271190.69,Luxury
Kuala Lumpur,Off-Season,12,Premium Economy,4985.9,Premium,5582.95,1264.13,Taxi,1334.64,2,20178.08,158294.4,Luxury
London,Peak,5,Business,6737.9,Budget,939.62,440.92,Taxi,232.81,6,16829.07,117483.82,Luxury
London,Holiday,17,Premium Economy,5674.0,Luxury,6287.38,1775.46,Taxi,1232.28,8,9080.44,800000.0,Luxury
Goa,Off-Season,17,Business,919.9,Luxury,2755.96,1308.26,Taxi,396.03,1,22319.03,307974.45,Luxury
Bangkok,Monsoon,1,Premium Economy,629.3,Standard,7126.35,768.09,Public,531.0,7,1516.51,7958.95,Budget
Goa,Off-Season,2,Economy,11265.3,Luxury,3261.4,760.44,Rideshare,708.8,5,11047.14,89667.47,Mid-range
Bangkok,Off-Season,6,First,6816.1,Standard,6280.91,554.23,Taxi,898.42,1,17441.82,165335.14,Luxury
Goa,Monsoon,13,Premium Economy,7589.6,Luxury,884.05,1509.94,Private Car,177.42,4,23228.83,133350.39,Luxury
Dubai,Winter,4,Economy,11474.3,Luxury,5865.44,1785.11,Taxi,746.62,2,15841.32,211246.44,Luxury
Bangkok,Winter,8,First,2731.7,Standard,5787.9,1229.7,Taxi,120.17,0,14455.01,211177.65,Luxury
Dubai,Peak,18,Premium Economy,11864.9,Standard,4525.08,1714.99,Rideshare,1356.56,0,16968.89,378741.31,Luxury
Istanbul,Off-Season,10,First,2509.4,Premium,7949.58,445.97,Private Car,1471.91,9,17437.73,300284.4,Luxury
Goa,Monsoon,18,First,6597.4,Budget,1309.57,1184.0,Taxi,585.31,4,7563.47,132350.43,Luxury
Dubai,Monsoon,8,Premium Economy,9119.7,Luxury,3113.44,793.94,Public,250.82,2,8795.51,174445.76,Luxury
Dubai,Holiday,16,Premium Economy,6596.3,Premium,2781.59,1706.62,Public,1155.52,5,3203.63,316347.87,Luxury
Bangkok,Holiday,16,Economy,10925.8,Budget,3928.65,1637.16,Rideshare,1374.24,6,13602.96,144354.32,Luxury
Dubai,Peak,3,Premium Economy,8240.1,Standard,2548.96,1569.72,Public,171.57,6,11863.63,140175.87,Luxury
Dubai,Peak,18,Premium Economy,10478.5,Luxury,2706.54,1000.15,Rideshare,858.34,6,18977.96,619573.89,Luxury
Istanbul,Holiday,17,First,1127.3,Budget,6874.78,1151.62,Rideshare,322.5,1,680.92,279766.29,Luxury
Dubai,Winter,15,Premium Economy,4006.5,Standard,1231.17,1027.02,Private Car,431.05,7,19329.89,143549.48,Luxury
Kuala Lumpur,Winter,15,Premium Economy,3557.6,Standard,5173.96,1065.5,Taxi,1358.29,10,23964.92,174546.19,Luxury
Bangkok,Peak,7,Business,10501.8,Budget,4330.57,604.72,Rideshare,380.86,3,10080.17,133763.61,Luxury
Dubai,Holiday,13,Economy,5548.2,Budget,3234.64,1493.09,Rideshare,1453.08,0,3649.38,143653.09,Luxury
Dubai,Winter,5,Premium Economy,11767.7,Standard,5082.98,1153.01,Taxi,500.9,0,21640.2,182786.98,Luxury
Goa,Holiday,14,Economy,6817.9,Luxury,3553.5,331.69,Taxi,905.13,8,15433.4,256763.29,Luxury
Goa,Monsoon,16,Premium Economy,6956.4,Luxury,3644.81,1334.89,Private Car,541.07,5,9213.87,212627.61,Luxury
Istanbul,Peak,9,Economy,3678.3,Premium,7437.01,789.45,Taxi,557.52,6,20205.79,131900.96,Luxury
Kuala Lumpur,Off-Season,18,Business,9003.2,Standard,996.57,1155.77,Taxi,342.07,2,15166.49,115478.36,Luxury
Goa,Off-Season,16,Business,10990.3,Luxury,5752.97,1981.72,Public,624.5,3,7275.36,464707.56,Luxury
Dubai,Off-Season,7,Business,4146.8,Premium,1583.78,477.68,Taxi,139.81,7,9364.55,112374.68,Luxury
Goa,Peak,8,First,11827.7,Premium,824.74,1228.31,Private Car,800.27,11,16563.54,316939.06,Luxury
Goa,Peak,18,First,3085.9,Budget,1796.82,1161.38,Taxi,163.59,2,13527.14,212786.82,Luxury
Istanbul,Off-Season,5,Premium Economy,3449.5,Premium,6614.51,285.83,Private Car,234.91,8,19143.12,62623.06,Mid-range
Istanbul,Monsoon,14,Business,7717.3,Standard,3241.76,1344.45,Taxi,935.33,9,146.14,121021.4,Luxury
Bangkok,Peak,13,Business,9820.2,Budget,7154.78,984.64,Rideshare,610.66,0,13043.42,258882.68,Luxury
Istanbul,Monsoon,13,Economy,152.8,Standard,2889.79,265.67,Rideshare,648.87,3,14597.38,39982.63,Mid-range
Dubai,Peak,14,Business,1555.7,Standard,5778.51,837.72,Private Car,590.82,6,9047.96,400228.57,Luxury
London,Winter,20,Economy,9435.1,Luxury,5791.12,929.58,Public,1334.6,8,18740.99,745993.85,Luxury
Dubai,Winter,4,Economy,4841.6,Luxury,7756.33,1676.95,Public,519.99,9,5500.24,162690.46,Luxury
Dubai,Off-Season,11,Business,7293.9,Luxury,1359.86,680.34,Public,270.36,5,8185.73,210787.39,Luxury
Istanbul,Winter,20,Business,4309.9,Premium,2164.97,934.07,Rideshare,1021.67,8,18706.98,230020.37,Luxury
Goa,Monsoon,5,Economy,3772.0,Budget,4116.33,410.23,Rideshare,763.78,4,20729.89,31806.65,Mid-range
Goa,Winter,4,First,7302.0,Budget,7127.08,1681.49,Public,1311.07,3,12198.07,177497.92,Luxury
Kuala Lumpur,Off-Season,14,Business,6422.9,Premium,6584.78,395.62,Public,175.58,0,4236.33,210700.07,Luxury
London,Winter,16,Premium Economy,106.1,Budget,3029.44,439.22,Taxi,1056.79,5,5056.2,160253.14,Luxury
London,Monsoon,6,First,3028.8,Luxury,7396.21,1247.28,Rideshare,1251.78,0,18069.64,558102.75,Luxury
London,Off-Season,10,Economy,11623.4,Luxury,6517.22,1114.5,Rideshare,1160.64,2,3339.73,322173.94,Luxury
Istanbul,Holiday,6,Premium Economy,10576.4,Premium,6999.39,1392.24,Taxi,171.44,2,10563.14,135754.58,Luxury
Kuala Lumpur,Peak,7,Business,8901.0,Premium,7994.6,1521.8,Rideshare,416.48,5,17444.42,250812.8,Luxury
Kuala Lumpur,Winter,2,Business,9922.5,Premium,7761.16,1722.35,Public,1429.05,9,14215.02,135261.71,Luxury
Bangkok,Winter,11,Business,5311.9,Budget,1069.35,550.0,Public,427.46,9,4093.07,67298.08,Mid-range
London,Winter,11,Business,2867.3,Standard,6466.94,1143.25,Private Car,1318.21,6,2390.24,424714.69,Luxury
Bangkok,Off-Season,17,First,11781.0,Standard,7642.64,225.56,Public,1364.61,8,6265.07,418543.28,Luxury
Dubai,Winter,1,Premium Economy,3596.5,Luxury,3580.68,1272.22,Rideshare,1485.55,2,7814.16,84016.3,Mid-range
Istanbul,Peak,8,Business,1124.5,Luxury,5593.0,760.6,Public,221.27,5,5505.31,194433.62,Luxury
Goa,Holiday,15,First,10339.4,Budget,5859.71,534.81,Taxi,160.49,8,2776.67,334277.9,Luxury
Dubai,Peak,13,First,7302.2,Premium,1248.95,1563.21,Rideshare,361.58,0,24422.9,489252.16,Luxury
Istanbul,Winter,11,First,2645.2,Premium,5007.29,355.22,Public,1095.47,9,15972.43,265808.48,Luxury
London,Peak,10,Premium Economy,441.9,Budget,4535.81,1352.66,Private Car,1159.63,4,13918.49,218756.64,Luxury
Kuala Lumpur,Peak,13,Economy,74.0,Standard,5863.24,1653.35,Private Car,835.92,0,11412.93,127916.64,Luxury
London,Winter,16,Business,6566.3,Premium,7764.69,1781.9,Private Car,56.76,5,13962.52,800000.0,Luxury
Goa,Off-Season,19,First,10910.8,Budget,3003.17,1217.26,Public,640.93,11,7879.98,242780.86,Luxury
Goa,Peak,12,Premium Economy,7338.3,Budget,810.62,1866.74,Private Car,957.87,0,10063.29,103059.92,Luxury
Kuala Lumpur,Holiday,13,Economy,9764.0,Standard,7971.02,1684.22,Taxi,310.17,8,10189.29,168854.44,Luxury
Kuala Lumpur,Monsoon,12,Business,3269.2,Budget,7748.16,1677.9,Public,660.56,9,22110.67,150790.35,Luxury
Bangkok,Off-Season,14,Economy,4533.6,Luxury,6570.6,982.02,Rideshare,499.05,10,3336.88,221614.79,Luxury
Dubai,Off-Season,15,Business,719.4,Luxury,2816.58,838.98,Private Car,221.68,6,11886.63,342606.79,Luxury
Dubai,Winter,17,Economy,6237.8,Standard,4394.18,1398.22,Rideshare,874.25,8,22252.12,257525.73,Luxury
Kuala Lumpur,Winter,20,Business,2377.2,Standard,2743.88,1725.84,Taxi,721.49,7,13041.66,234257.76,Luxury
Bangkok,Winter,5,First,7678.7,Luxury,2033.89,378.32,Rideshare,476.49,8,8693.42,230065.13,Luxury
Dubai,Monsoon,9,Premium Economy,3714.2,Standard,6383.55,356.83,Rideshare,881.35,8,6343.45,132313.07,Luxury
Kuala Lumpur,Winter,14,Economy,2670.1,Standard,2576.95,846.48,Taxi,1363.19,6,3062.85,84625.64,Mid-range
,,1,,7323.8,,,1607.51,Rideshare,1403.02,11,,242158.49,Luxury
Kuala Lumpur,Peak,20,First,5868.3,Luxury,6512.83,1214.97,Taxi,637.39,4,19844.37,800000.0,Luxury
Dubai,Holiday,20,Economy,2760.1,Premium,2180.15,1576.4,Private Car,904.29,5,6410.5,267159.52,Luxury
Bangkok,Peak,4,First,2694.9,Budget,6949.98,704.98,Public,586.73,4,816.72,118599.51,Luxury
